Client Name,Site Name,UA,GA4
Adventure Wagon,Adventure Wagon,186439426,336199735
"All Volleyball, Inc.",All Volleyball,13025408,284335226
"American Outdoor Products, Inc",Backpacker's Pantry,99068655,342772064
"American Outdoor Products, Inc",Astronaut Foods,99091141,388450813
"Chantelle Lingerie, Inc.",Chantelle US,125210152,330975747
CME Corp,CME Corp,138994348,335572082
Coast Appliances,Coast Appliances,164947763,259811488
"Danielhouse Studios, Inc.",Daniel House ,206564014,341449667
Dungarees,Dungarees,340790,321286219
eOutdoors,TackleDirect,448254,306388981
eOutdoors,IslandBeachGear.com,3195801,378754448
Grovemade,Grovemade,70706339,316843262
LD Products,,174477782,363075979
Knife Center,,,257333507
LD Products,4Inkjets.com,81334712,352196967
LD Products,123Inkjets.com,81326714,375678135
LD Products,InkCartridges.com,81328812,375704441
LD Products,LDProducts.com,81342007,375704767
LD Products,QuickShipToner.com,35670706,376174326
MojoMotoSport.com,MojoMotoSport,111423682,385380170
MonkeySports,LacrosseMonkey,1635649,314664061
MonkeySports,BaseballMonkey,235480632,314681190
MonkeySports,GoalieMonkey,4666595,314709220
MonkeySports,HockeyMonkey CA,155593362,314721579
MonkeySports,HockeyMonkey,4666792,338496321
MonkeySports,,44441058,375547256
MonkeySports,,30752981,351932223
MotoCampNerd,MotoCampNerd.com,214879810,358314761
Nature's Path,Nature's Path,212052069,325139276
Nature's Path,,,432657374
Orchard and Vineyard Supply,orchardvalleysupply.com,14489772,312463414
Outdoor Research,Outdoor Research,74136417,359642707
Pacific Group LLC,Gretel's Candy Shop,,358766200
People's Choice Beef Jerky,People's Choice Beef Jerky,86741099,320579204
Premier Needle Arts,Connecting Threads,6565579,327762182
Premier Needle Arts,KnitPicks.com,199487418,374100292
Premier Needle Arts,Superior BPC,33100999,260099908
Premier Needle Arts,Crochet.com,203682470,374690548
"BRobinson, LLC",Revo,193155972,325627509
Royal Swimming Pools,RoyalSwimmingPools.com,6937496,333681847
ScaffoldMart,ScaffoldMart,,378355568
Skid Steer Solutions,Skid Steer Solutions,56679462,347386050
Solotech US,PSSL,155031816,280602752
StatBid,,121676841,386209704
Taylor Toolworks,,198641918,343877510
Taylor Toolworks,,,393872184
"TCI Supply, LLC",,188312913,360652887
The Giving Tree Gallery,Giving Tree Gallery,19378522,337074254
The Giving Tree Gallery,Nautical Wood Maps,92662419,391052270
Weaver Leather,,114646657,316882266
Weaver Leather,,104414601,363082619
Weaver Leather,,160705132,316893385
Weaver Leather,,112376231,316836036
Weaver Leather,,183913855,316812922
Weaver Leather,,51429470,316844850
Weaver Leather,Weaver Leather,75241907,316832699
Weaver Leather,,197607479,316900878
Weaver Leather,,1459382,316886606
